No.,P1,P2,P3,P4,Duration
1393_15,p,ax,bcl,b,250
1393_16,ax,bcl,b,el,1537
1393_17,bcl,b,el,ax,955
1393_18,b,el,ax,v,1040
1393_19,el,ax,v,hh,1250
1393_20,ax,v,hh,ao,2185
1393_21,v,hh,ao,l,836
1393_22,hh,ao,l,iy,689
1393_23,ao,l,iy,ng,1280
1393_24,l,iy,ng,hh,2010
1393_25,iy,ng,hh,ux,1190
1393_26,ng,hh,ux,dcl,680
1393_27,hh,ux,dcl,jh,1180
1393_28,ux,dcl,jh,l,1356
1393_29,dcl,jh,l,ow,3344
1393_30,jh,l,ow,dcl,1910
1393_31,l,ow,dcl,s,3000
1394_0,sil,sil,sil,dh,251
1394_1,sil,sil,dh,ix,659
1394_2,sil,dh,ix,kcl,980
1394_3,dh,ix,kcl,k,710
1394_4,ix,kcl,k,aa,1003
1394_5,kcl,k,aa,r,507
1394_6,k,aa,r,tcl,1020
1394_7,aa,r,tcl,t,780
1394_8,r,tcl,t,ux,1152
1394_9,tcl,t,ux,n,968
1394_10,t,ux,n,f,1680
1394_11,ux,n,f,iy,736
1394_12,n,f,iy,tcl,704
1394_13,f,iy,tcl,ch,965
1394_14,iy,tcl,ch,ix,503
1394_15,tcl,ch,ix,z,1500
1394_16,ch,ix,z,ix,491
1394_17,ix,z,ix,m,1358
1394_18,z,ix,m,ah,1403
1394_19,ix,m,ah,s,1347
1394_20,m,ah,s,kcl,843
1394_21,ah,s,kcl,k,510
1394_22,s,kcl,k,r,760
1394_23,kcl,k,r,ae,1520
1394_24,k,r,ae,tcl,440
1394_25,r,ae,tcl,ix,984
1394_26,ae,tcl,ix,n,704
1394_27,tcl,ix,n,ax,718
1394_28,ix,n,ax,tcl,1014
1394_29,n,ax,tcl,t,1000
1394_30,ax,tcl,t,ae,1700
1394_31,tcl,t,ae,dcl,1560
1394_32,t,ae,dcl,p,1423
1394_33,ae,dcl,p,ow,1362
1394_34,dcl,p,ow,l,935
1395_0,sil,sil,sil,k,1300
1395_1,sil,sil,k,l,685
1395_2,sil,k,l,ae,2805
1395_3,k,l,ae,s,2120
1395_4,l,ae,s,dh,1570
1395_5,ae,s,dh,ax,1000
1395_6,s,dh,ax,s,2110
1395_7,dh,ax,s,kcl,590
1395_8,ax,s,kcl,k,700
1395_9,s,kcl,k,r,1721
1395_10,kcl,k,r,ux,3551
1395_11,k,r,ux,q,1436
1395_12,r,ux,q,ix,1112
1395_13,ux,q,ix,n,813
1395_14,q,ix,n,y,649
1395_15,ix,n,y,axr,1337
1395_16,n,y,axr,l,1128
1395_17,y,axr,l,eh,2163
1395_18,axr,l,eh,f,1280
1395_19,l,eh,f,tcl,320
1395_20,eh,f,tcl,t,540
1395_21,f,tcl,t,hh,750
1395_22,tcl,t,hh,ae,2550
1395_23,t,hh,ae,n,960
1395_24,hh,ae,n,dcl,1939
1396_0,sil,sil,sil,dh,167
1396_1,sil,sil,dh,ix,365
1396_2,sil,dh,ix,m,1431
1396_3,dh,ix,m,ae,2529
1396_4,ix,m,ae,ng,480
1396_5,m,ae,ng,gcl,320
1396_6,ae,ng,gcl,g,300
1396_7,ng,gcl,g,ow,2174
1396_8,gcl,g,ow,eh,1045
1396_9,g,ow,eh,n,1001
1396_10,ow,eh,n,dh,230
1396_11,eh,n,dh,ix,650
1396_12,n,dh,ix,pcl,1190
1396_13,dh,ix,pcl,p,420
1396_14,ix,pcl,p,ax,470
1396_15,pcl,p,ax,pcl,1610
1396_16,p,ax,pcl,p,960
1396_17,ax,pcl,p,ay,3704
1396_18,pcl,p,ay,ah,2526
1396_19,p,ay,ah,pau,4720
1396_20,ay,ah,pau,aa,1401
1396_21,ah,pau,aa,r,627
1396_22,pau,aa,r,ih,1012
1396_23,aa,r,ih,nx,560
1396_24,r,ih,nx,ix,471
1396_25,ih,nx,ix,bcl,1264
1396_26,nx,ix,bcl,b,148
1396_27,ix,bcl,b,ow,2602
1396_28,bcl,b,ow,l,2395
1397_0,sil,sil,sil,dh,480
1397_1,sil,sil,dh,ix,669
1397_2,sil,dh,ix,kcl,835
1397_3,dh,ix,kcl,k,752
1397_4,ix,kcl,k,ay,2674
1397_5,kcl,k,ay,ow,1587
1397_6,k,ay,ow,dx,363
1397_7,ay,ow,dx,iy,2000
1397_8,ow,dx,iy,pau,3319
1397_9,dx,iy,pau,b,250
1397_10,iy,pau,b,aa,2031
1397_11,pau,b,aa,bcl,1353
1397_12,b,aa,bcl,k,967
1397_13,aa,bcl,k,ae,2125
1397_14,bcl,k,ae,q,334
1397_15,k,ae,q,ix,1141
1397_16,ae,q,ix,n,780
1397_17,q,ix,n,hv,794
1397_18,ix,n,hv,ay,2005
1397_19,n,hv,ay,iy,2141
1397_20,hv,ay,iy,nx,400
1397_21,ay,iy,nx,ax,2431
1397_22,iy,nx,ax,pau,2249
1397_23,nx,ax,pau,aa,1134
1397_24,ax,pau,aa,r,568
1397_25,pau,aa,r,w,1420
1397_26,aa,r,w,ay,2228
1397_27,r,w,ay,l,1114
1397_28,w,ay,l,dx,585
1397_29,ay,l,dx,ae,2005
1397_30,l,dx,ae,nx,376
1397_31,dx,ae,nx,ax,627
1397_32,ae,nx,ax,m,919
1397_33,nx,ax,m,el,1504
1397_34,ax,m,el,z,2640
1398_0,sil,sil,sil,t,1160
1398_1,sil,sil,t,r,490
1398_2,sil,t,r,eh,931
1398_3,t,r,eh,s,906
1398_4,r,eh,s,pcl,993
1398_5,eh,s,pcl,p,410
1398_6,s,pcl,p,ae,2190
1398_7,pcl,p,ae,s,1667
1398_8,p,ae,s,ix,630
1398_9,ae,s,ix,ng,974
1398_10,s,ix,ng,ih,1709
1398_11,ix,ng,ih,z,933
1398_12,ng,ih,z,f,1427
1398_13,ih,z,f,axr,850
1398_14,z,f,axr,bcl,1357
1398_15,f,axr,bcl,b,238
1398_16,axr,bcl,b,ih,2176
1398_17,bcl,b,ih,dcl,626
1398_18,b,ih,dcl,en,1487
1398_19,ih,dcl,en,ix,1084
1398_20,dcl,en,ix,n,922
1398_21,en,ix,n,s,1758
1398_22,ix,n,s,ah,1072
1398_23,n,s,ah,bcl,704
1398_24,s,ah,bcl,jh,712
1398_25,ah,bcl,jh,ih,867
1398_26,bcl,jh,ih,kcl,1387
1398_27,jh,ih,kcl,t,460
1398_28,ih,kcl,t,ax-h,270
1398_29,kcl,t,ax-h,pcl,1010
1398_30,t,ax-h,pcl,p,820
1398_31,ax-h,pcl,p,eh,961
1398_32,pcl,p,eh,nx,404
1398_33,p,eh,nx,el,1285
1398_34,eh,nx,el,tcl,1350
1398_35,nx,el,tcl,t,960
1398_36,el,tcl,t,iy,1370
1399_0,sil,sil,sil,ix,841
1399_1,sil,sil,ix,n,588
1399_2,sil,ix,n,s,1590
1399_3,ix,n,s,ay,1560
1399_4,n,s,ay,kcl,740
1399_5,s,ay,kcl,k,542
1399_6,ay,kcl,k,l,327
1399_7,kcl,k,l,ax,711
1399_8,k,l,ax,pcl,1000
1399_9,l,ax,pcl,p,830
1399_10,ax,pcl,p,iy,1610
1399_11,pcl,p,iy,dx,480
1399_12,p,iy,dx,iy,1635
1399_13,iy,dx,iy,ix,2175
1399_14,dx,iy,ix,s,2460
1399_15,iy,ix,s,eh,1463
1399_16,ix,s,eh,l,747
1399_17,s,eh,l,dcl,508
1399_18,eh,l,dcl,d,301
1399_19,l,dcl,d,ax,1013
1399_20,dcl,d,ax,m,607
1399_21,d,ax,m,pcl,801
1399_22,ax,m,pcl,p,470
1399_23,m,pcl,p,r,543
1399_24,pcl,p,r,iy,1087
1399_25,p,r,iy,z,901
1399_26,r,iy,z,eh,2579
1399_27,iy,z,eh,n,584
1399_28,z,eh,n,q,722
1399_29,eh,n,q,pau,1684
1399_30,n,q,pau,ae,1960
1399_31,q,pau,ae,nx,480
1399_32,pau,ae,nx,ih,1440
1399_33,ae,nx,ih,kcl,1700
1399_34,nx,ih,kcl,d,260
1399_35,ih,kcl,d,ow,2331
1399_36,kcl,d,ow,dx,589
1399_37,d,ow,dx,el,1844
1399_38,ow,dx,el,q,1854
1399_39,dx,el,q,eh,1186
1399_40,el,q,eh,v,796
1399_41,q,eh,v,ix,960
1399_42,eh,v,ix,dx,400
1399_43,v,ix,dx,ix,1240
1399_44,ix,dx,ix,n,509
1399_45,dx,ix,n,tcl,1001
1399_46,ix,n,tcl,s,3570
1400_0,sil,sil,sil,q,424
1400_1,sil,sil,q,ah,1126
1400_2,sil,q,ah,s,2370
1400_3,q,ah,s,kcl,510
1400_4,ah,s,kcl,k,450
1400_5,s,kcl,k,r,453
1400_6,kcl,k,r,ux,907
1400_7,k,r,ux,dcl,450
1400_8,r,ux,dcl,d,180
1400_9,ux,dcl,d,r,447
1400_10,dcl,d,r,ay,1671
1400_11,d,r,ay,v,692
1400_12,r,ay,v,axr,1021
1400_13,ay,v,axr,ix,709
1400_14,v,axr,ix,z,730
1400_15,axr,ix,z,epi,380
1400_16,ix,z,epi,m,720
1400_17,z,epi,m,ey,1722
1400_18,epi,m,ey,f,2058
1400_19,m,ey,f,r,407
1400_20,ey,f,r,em,1227
1400_21,f,r,em,v,923
1400_22,r,em,v,aa,2370
1400_23,em,v,aa,dcl,1353
1400_24,v,aa,dcl,k,670
1400_25,aa,dcl,k,ah,2313
1400_26,dcl,k,ah,q,1270
1400_27,k,ah,q,ix,687
1400_28,ah,q,ix,nx,560
1400_29,q,ix,nx,ao,1870
1400_30,ix,nx,ao,ix,793
1400_31,nx,ao,ix,n,460
1400_32,ao,ix,n,zh,2317
1400_33,ix,n,zh,ux,2140
1400_34,n,zh,ux,s,3650
1401_0,sil,sil,sil,w,666
1401_1,sil,sil,w,eh,1334
1401_2,sil,w,eh,s,2280
1401_3,w,eh,s,tcl,193
1401_4,eh,s,tcl,ch,967
1401_5,s,tcl,ch,eh,1360
1401_6,tcl,ch,eh,s,1640
1401_7,ch,eh,s,t,280
1401_8,eh,s,t,er,1280
1401_9,s,t,er,ix,640
1401_10,t,er,ix,z,800
1401_11,er,ix,z,ix,960
1401_12,ix,z,ix,kcl,480
1401_13,z,ix,kcl,k,1600
1401_14,ix,kcl,k,aw,1830
1401_15,kcl,k,aw,n,376
1401_16,k,aw,n,tcl,417
1401_17,aw,n,tcl,t,502
1401_18,n,tcl,t,iy,1044
1401_19,tcl,t,iy,ih,1271
1401_20,t,iy,ih,n,1040
1401_21,iy,ih,n,ux,1658
1401_22,ih,n,ux,y,1002
1401_23,n,ux,y,ao,1940
1401_24,ux,y,ao,r,840
1401_25,y,ao,r,kcl,1520
1401_26,ao,r,kcl,k,640
1402_0,sil,sil,sil,dh,410
1402_1,sil,sil,dh,iy,1538
1402_2,sil,dh,iy,q,1162
1402_3,dh,iy,q,eh,1530
1402_4,iy,q,eh,m,703
1402_5,q,eh,m,pcl,597
1402_6,eh,m,pcl,p,760
1402_7,m,pcl,p,er,3053
1402_8,pcl,p,er,hh,1917
1402_9,p,er,hh,ae,1570
1402_10,er,hh,ae,dx,526
1402_11,hh,ae,dx,ey,1360
1402_12,ae,dx,ey,m,1434
1402_13,dx,ey,m,iy,2080
1402_14,ey,m,iy,n,1045
1402_15,m,iy,n,tcl,845
1402_16,iy,n,tcl,t,680
1402_17,n,tcl,t,eh,1270
1402_18,tcl,t,eh,m,523
1402_19,t,eh,m,pcl,617
1402_20,eh,m,pcl,p,400
1402_21,m,pcl,p,axr,1460
1403_0,sil,sil,sil,l,586
1403_1,sil,sil,l,aa,1174
1403_2,sil,l,aa,tcl,244
1403_3,l,aa,tcl,t,167
1403_4,aa,tcl,t,s,1479
1403_5,tcl,t,s,ax,826
1403_6,t,s,ax,f,2507
1403_7,s,ax,f,ao,1546
1403_8,ax,f,ao,r,919
1403_9,f,ao,r,en,793
1403_10,ao,r,en,m,487
1403_11,r,en,m,uw,1334
1403_12,en,m,uw,v,698
1403_13,m,uw,v,iy,1640
1403_14,uw,v,iy,z,1105
1403_15,v,iy,z,hh,375
1403_16,iy,z,hh,eh,878
1403_17,z,hh,eh,v,832
1403_18,hh,eh,v,s,1550
1403_19,eh,v,s,ah,980
1403_20,v,s,ah,bcl,1360
1403_21,s,ah,bcl,t,1050
1403_22,ah,bcl,t,ay,1430
1403_23,bcl,t,ay,dx,640
1403_24,t,ay,dx,el,1790
1403_25,ay,dx,el,s,2620
1404_0,sil,sil,sil,q,1221
1404_1,sil,sil,q,ae,1330
1404_2,sil,q,ae,ng,919
1404_3,q,ae,ng,gcl,479
1404_4,ae,ng,gcl,g,451
1404_5,ng,gcl,g,ao,1452
1404_6,gcl,g,ao,r,1295
1404_7,g,ao,r,ah,1093
1404_8,ao,r,ah,kcl,1204
1404_9,r,ah,kcl,k,1421
1404_10,ah,kcl,k,ae,3615
1404_11,kcl,k,ae,tcl,949
1404_12,k,ae,tcl,s,1577
1404_13,ae,tcl,s,q,1494
1404_14,tcl,s,q,aa,678
1404_15,s,q,aa,r,662
1404_16,q,aa,r,f,1840
1404_17,aa,r,f,er,2553
1404_18,r,f,er,iy,1462
1404_19,f,er,iy,axr,1955
1404_20,er,iy,axr,dh,927
1404_21,iy,axr,dh,ix,627
1404_22,axr,dh,ix,n,1016
1404_23,dh,ix,n,s,1783
1404_24,ix,n,s,ay,2465
1404_25,n,s,ay,m,1205
1404_26,s,ay,m,iy,3449
1404_27,ay,m,iy,z,2404
1405_0,sil,sil,sil,hh,539
1405_1,sil,sil,hh,iy,1269
1405_2,sil,hh,iy,ey,2085
1405_3,hh,iy,ey,tcl,852
1405_4,iy,ey,tcl,f,2123
1405_5,ey,tcl,f,ao,1537
1405_6,tcl,f,ao,r,877
1405_7,f,ao,r,eh,1713
1405_8,ao,r,eh,kcl,527
1405_9,r,eh,kcl,s,1162
1405_10,eh,kcl,s,tcl,269
1405_11,kcl,s,tcl,t,590
1405_12,s,tcl,t,r,321
1405_13,tcl,t,r,ax,640
1405_14,t,r,ax,q,918
1405_15,r,ax,q,eh,2382
1405_16,ax,q,eh,gcl,847
1405_17,q,eh,gcl,g,173
1405_18,eh,gcl,g,z,860
1405_19,gcl,g,z,f,1212
1405_20,g,z,f,axr,835
1405_21,z,f,axr,bcl,1421
1405_22,f,axr,bcl,b,237
1405_23,axr,bcl,b,r,743
1405_24,bcl,b,r,eh,1485
1405_25,b,r,eh,kcl,987
1405_26,r,eh,kcl,f,1507
1405_27,eh,kcl,f,ix,1477
1405_28,kcl,f,ix,s,1449
1405_29,f,ix,s,tcl,494
1406_0,sil,sil,sil,w,770
1406_1,sil,sil,w,iy,1540
1406_2,sil,w,iy,pcl,1360
1406_3,w,iy,pcl,p,1200
1406_4,iy,pcl,p,l,986
1406_5,pcl,p,l,ae,1831
1406_6,p,l,ae,n,668
1406_7,l,ae,n,tcl,251
1406_8,ae,n,tcl,t,334
1406_9,n,tcl,t,ux,730
1406_10,tcl,t,ux,bcl,1600
1406_11,t,ux,bcl,b,480
1406_12,ux,bcl,b,ih,2239
1406_13,bcl,b,ih,l,1121
1406_14,b,ih,l,dx,480
1406_15,ih,l,dx,ah,1200
1406_16,l,dx,ah,n,880
1406_17,dx,ah,n,ux,1840
1406_18,ah,n,ux,bcl,1600
1406_19,n,ux,bcl,b,400
1406_20,ux,bcl,b,eh,1680
1406_21,bcl,b,eh,v,622
1406_22,b,eh,v,r,498
1406_23,eh,v,r,ix,800
1406_24,v,r,ix,dcl,480
1406_25,r,ix,dcl,jh,1040
1406_26,ix,dcl,jh,pcl,1040
1406_27,dcl,jh,pcl,p,988
1406_28,jh,pcl,p,l,836
1406_29,pcl,p,l,ae,1671
1406_30,p,l,ae,n,292
1406_31,l,ae,n,tcl,2005
1407_0,sil,sil,sil,p,357
1407_1,sil,sil,p,ax,704
1407_2,sil,p,ax,bcl,1374
1407_3,p,ax,bcl,b,186
1407_4,ax,bcl,b,l,770
1407_5,bcl,b,l,ih,1320
1407_6,b,l,ih,s,1671
1407_7,l,ih,s,ix,556
1407_8,ih,s,ix,dcl,709
1407_9,s,ix,dcl,d,188
1407_10,ix,dcl,d,iy,1900
1407_11,dcl,d,iy,ae,1635
1407_12,d,iy,ae,n,1535
1407_13,iy,ae,n,ow,2475
1407_14,ae,n,ow,r,543
1407_15,n,ow,r,ay,2223
1407_16,ow,r,ay,eh,1175
1407_17,r,ay,eh,dcl,577
1407_18,ay,eh,dcl,d,153
1407_19,eh,dcl,d,iy,1125
1407_20,dcl,d,iy,gcl,866
1407_21,d,iy,gcl,g,411
1407_22,iy,gcl,g,ow,1784
1407_23,gcl,g,ow,hv,1044
1407_24,g,ow,hv,ae,1938
1407_25,ow,hv,ae,n,895
1407_26,hv,ae,n,dcl,246
1407_27,ae,n,dcl,d,148
1407_28,n,dcl,d,ix,713
1407_29,dcl,d,ix,n,914
1407_30,d,ix,n,hv,1034
1407_31,ix,n,hv,ae,2442
1407_32,n,hv,ae,n,500
1407_33,hv,ae,n,dcl,330
1408_0,sil,sil,sil,t,660
1408_1,sil,sil,t,eh,953
1408_2,sil,t,eh,kcl,808
1408_3,t,eh,kcl,n,369
1408_4,eh,kcl,n,ix,1000
1408_5,kcl,n,ix,kcl,640
1408_6,n,ix,kcl,k,531
1408_7,ix,kcl,k,el,1105
1408_8,kcl,k,el,r,919
1408_9,k,el,r,ay,1445
1408_10,el,r,ay,dx,480
1408_11,r,ay,dx,axr,1230
1408_12,ay,dx,axr,z,1078
1408_13,dx,axr,z,kcl,492
1408_14,axr,z,kcl,k,592
1408_15,z,kcl,k,ix,295
1408_16,kcl,k,ix,nx,474
1408_17,k,ix,nx,ix,682
1408_18,ix,nx,ix,m,597
1408_19,nx,ix,m,bcl,880
1408_20,ix,m,bcl,b,178
1408_21,m,bcl,b,r,1186
1408_22,bcl,b,r,iy,1436
1408_23,b,r,iy,v,720
1408_24,r,iy,v,iy,1436
1408_25,iy,v,iy,ey,1924
1408_26,v,iy,ey,tcl,1320
1408_27,iy,ey,tcl,ix,1410
1408_28,ey,tcl,ix,n,571
1408_29,tcl,ix,n,bcl,520
1408_30,ix,n,bcl,b,269
1408_31,n,bcl,b,ih,1030
1408_32,bcl,b,ih,bcl,643
1408_33,b,ih,bcl,l,877
1408_34,ih,bcl,l,iy,961
1408_35,bcl,l,iy,aa,2159
1408_36,l,iy,aa,gcl,612
1408_37,iy,aa,gcl,g,256
1408_38,aa,gcl,g,axr,972
1408_39,gcl,g,axr,f,1985
1408_40,g,axr,f,iy,1828
1408_41,axr,f,iy,s,3227
1409_0,sil,sil,sil,s,1828
1409_1,sil,sil,s,ay,1858
1409_2,sil,s,ay,n,543
1409_3,s,ay,n,tcl,427
1409_4,ay,n,tcl,t,670
1409_5,n,tcl,t,ih,724
1409_6,tcl,t,ih,f,776
1409_7,t,ih,f,ix,731
1409_8,ih,f,ix,kcl,1609
1409_9,f,ix,kcl,p,929
1409_10,ix,kcl,p,r,564
1409_11,kcl,p,r,aa,1707
1409_12,p,r,aa,gcl,590
1409_13,r,aa,gcl,g,370
1409_14,aa,gcl,g,r,1063
1409_15,gcl,g,r,eh,1237
1409_16,g,r,eh,s,1282
1409_17,r,eh,s,kcl,378
1409_18,eh,s,kcl,k,640
1409_19,s,kcl,k,ah,720
1409_20,kcl,k,ah,m,1242
1409_21,k,ah,m,z,1181
1409_22,ah,m,z,f,1197
1409_23,m,z,f,r,486
1409_24,z,f,r,ah,974
1409_25,f,r,ah,m,615
1409_26,r,ah,m,dh,302
1409_27,ah,m,dh,ah,898
1409_28,m,dh,ah,dcl,1353
1409_29,dh,ah,dcl,d,322
1409_30,ah,dcl,d,ix,273
1409_31,dcl,d,ix,v,1090
1409_32,d,ix,v,eh,1180
1409_33,ix,v,eh,l,607
1409_34,v,eh,l,ah,960
1409_35,eh,l,ah,pcl,200
1409_36,l,ah,pcl,m,1148
1409_37,ah,pcl,m,ah,1122
1409_38,pcl,m,ah,n,783
1409_39,m,ah,n,tcl,237
1409_40,ah,n,tcl,t,322
1409_41,n,tcl,t,eh,1108
1409_42,tcl,t,eh,v,520
1409_43,t,eh,v,epi,290
1409_44,eh,v,epi,n,667
1409_45,v,epi,n,ux,1564
1409_46,epi,n,ux,tcl,709
1409_47,n,ux,tcl,t,680
1409_48,ux,tcl,t,eh,1370
1409_49,tcl,t,eh,kcl,1179
1409_50,t,eh,kcl,n,969
1409_51,eh,kcl,n,iy,2315
1409_52,kcl,n,iy,kcl,1557
1409_53,n,iy,kcl,k,180
1409_54,iy,kcl,k,s,2530
1410_0,sil,sil,sil,p,629
1410_1,sil,sil,p,l,731
1410_2,sil,p,l,eh,1462
1410_3,p,l,eh,dcl,814
1410_4,l,eh,dcl,jh,1141
1410_5,eh,dcl,jh,tcl,770
1410_6,dcl,jh,tcl,t,636
1410_7,jh,tcl,t,ax-h,345
1410_8,tcl,t,ax-h,pcl,686
1410_9,t,ax-h,pcl,p,481
1410_10,ax-h,pcl,p,axr,637
1410_11,pcl,p,axr,tcl,468
1410_12,p,axr,tcl,t,968
1410_13,axr,tcl,t,ih,1013
1410_14,tcl,t,ih,s,1683
1410_15,t,ih,s,pcl,570
1410_16,ih,s,pcl,p,1103
1410_17,s,pcl,p,ey,1980
1410_18,pcl,p,ey,tcl,863
1410_19,p,ey,tcl,pau,575
1410_20,ey,tcl,pau,en,1689
1410_21,tcl,pau,en,ax,951
1410_22,pau,en,ax,v,1122
1410_23,en,ax,v,aa,2510
1410_24,ax,v,aa,dx,326
1410_25,v,aa,dx,ax,1345
1410_26,aa,dx,ax,z,1336
1410_27,dx,ax,z,pau,1043
1410_28,ax,z,pau,ax,436
1410_29,z,pau,ax,kcl,1077
1410_30,pau,ax,kcl,k,1050
1410_31,ax,kcl,k,w,609
1410_32,kcl,k,w,aa,1216
1410_33,k,w,aa,dx,293
1410_34,w,aa,dx,ix,1069
1410_35,aa,dx,ix,kcl,1180
1410_36,dx,ix,kcl,k,936
1410_37,ix,kcl,k,aa,1257
1410_38,kcl,k,aa,m,594
1410_39,k,aa,m,pcl,500
1410_40,aa,m,pcl,p,661
1410_41,m,pcl,p,tcl,577
1410_42,pcl,p,tcl,t,1135
1410_43,p,tcl,t,ih,919
1410_44,tcl,t,ih,sh,1728
1410_45,t,ih,sh,ix,528
1410_46,ih,sh,ix,n,531
1411_0,sil,sil,sil,hh,1168
1411_1,sil,sil,hh,w,686
1411_2,sil,hh,w,ih,609
1411_3,hh,w,ih,tcl,699
1411_4,w,ih,tcl,ch,1590
1411_5,ih,tcl,ch,l,768
1411_6,tcl,ch,l,ao,1911
1411_7,ch,l,ao,ng,1097
1411_8,l,ao,ng,aa,1620
1411_9,ao,ng,aa,r,854
1411_10,ng,aa,r,dx,400
1411_11,aa,r,dx,ix,754
1411_12,r,dx,ix,kcl,896
1411_13,dx,ix,kcl,k,550
1411_14,ix,kcl,k,ax,760
1411_15,kcl,k,ax,l,800
1411_16,k,ax,l,w,800
1411_17,ax,l,w,ax,503
1411_18,l,w,ax,z,1103
1411_19,w,ax,z,ow,1194
1411_20,ax,z,ow,pcl,1250
1411_21,z,ow,pcl,p,881
1411_22,ow,pcl,p,ey,3069
1411_23,pcl,p,ey,kcl,1050
1411_24,p,ey,kcl,k,830
1411_25,ey,kcl,k,pau,2840
1411_26,kcl,k,pau,ae,1148
1411_27,k,pau,ae,n,1315
1411_28,pau,ae,n,iy,1617
1411_29,ae,n,iy,dx,459
1411_30,n,iy,dx,ix,1061
1411_31,iy,dx,ix,dcl,1230
1411_32,dx,ix,dcl,k,1360
1411_33,ix,dcl,k,l,523
1411_34,dcl,k,l,eh,585
1411_35,k,l,eh,r,1028
1411_36,l,eh,r,axr,474
1411_37,eh,r,axr,f,1480
1411_38,r,axr,f,ix,360
1411_39,axr,f,ix,kcl,570
1411_40,f,ix,kcl,k,670
1411_41,ix,kcl,k,ey,2097
1411_42,kcl,k,ey,sh,1635
1411_43,k,ey,sh,en,1732
1412_0,sil,sil,sil,dh,270
1412_1,sil,sil,dh,ax,689
1412_2,sil,dh,ax,w,1379
1412_3,dh,ax,w,ih,1006
1412_4,ax,w,ih,l,1291
1412_5,w,ih,l,w,627
1412_6,ih,l,w,ix,1408
1412_7,l,w,ix,w,1099
1412_8,w,ix,w,uh,1238
1412_9,ix,w,uh,m,600
1412_10,w,uh,m,ax,1016
1412_11,uh,m,ax,n,911
1412_12,m,ax,n,w,1856
1412_13,ax,n,w,ao,2441
1412_14,n,w,ao,r,2527
1412_15,w,ao,r,pau,1192
1412_16,ao,r,pau,q,734
1412_17,r,pau,q,ey,943
1412_18,pau,q,ey,m,1957
1412_19,q,ey,m,ah,1406
1412_20,ey,m,ah,s,1402
1412_21,m,ah,s,kcl,568
1412_22,ah,s,kcl,k,570
1412_23,s,kcl,k,r,1100
1412_24,kcl,k,r,ae,2200
1412_25,k,r,ae,tcl,430
1412_26,r,ae,tcl,t,210
1412_27,ae,tcl,t,kcl,1170
1412_28,tcl,t,kcl,k,1280
1412_29,t,kcl,k,ow,2030
1412_30,kcl,k,ow,tcl,1940
1412_31,k,ow,tcl,t,700
1413_0,sil,sil,sil,t,1040
1413_1,sil,sil,t,ux,479
1413_2,sil,t,ux,m,1004
1413_3,t,ux,m,ax,647
1413_4,ux,m,ax,tcl,812
1413_5,m,ax,tcl,ch,707
1413_6,ax,tcl,ch,kcl,745
1413_7,tcl,ch,kcl,k,886
1413_8,ch,kcl,k,er,1746
1413_9,kcl,k,er,ix,877
1413_10,k,er,ix,aa,2257
1413_11,er,ix,aa,s,1252
1413_12,ix,aa,s,tcl,220
1413_13,aa,s,tcl,t,407
1413_14,s,tcl,t,iy,1253
1413_15,tcl,t,iy,kcl,788
1413_16,t,iy,kcl,k,1008
1413_17,iy,kcl,k,en,948
1413_18,kcl,k,en,gcl,364
1413_19,k,en,gcl,g,560
1413_20,en,gcl,g,ih,1586
1413_21,gcl,g,ih,q,909
1413_22,g,ih,q,y,521
1413_23,ih,q,y,ix,730
1413_24,q,y,ix,n,690
1413_25,y,ix,n,tcl,367
1413_26,ix,n,tcl,t,270
1413_27,n,tcl,t,ix,457
1413_28,tcl,t,ix,tcl,1030
1413_29,t,ix,tcl,t,1440
1413_30,ix,tcl,t,r,506
1413_31,tcl,t,r,ah,1014
1413_32,t,r,ah,bcl,557
1413_33,r,ah,bcl,b,215
1413_34,ah,bcl,b,el,1347
1414_0,sil,sil,sil,s,2610
1414_1,sil,sil,s,ih,898
1414_2,sil,s,ih,kcl,1202
1414_3,s,ih,kcl,k,387
1414_4,ih,kcl,k,l,254
1414_5,kcl,k,l,ix,509
1414_6,k,l,ix,kcl,1300
1414_7,l,ix,kcl,k,630
1414_8,ix,kcl,k,ax,870
1414_9,kcl,k,ax,l,640
1414_10,k,ax,l,pcl,1680
1414_11,ax,l,pcl,p,840
1414_12,l,pcl,p,r,786
1414_13,pcl,p,r,ow,1423
1414_14,p,r,ow,gcl,591
1414_15,r,ow,gcl,g,627
1414_16,ow,gcl,g,r,977
1414_17,gcl,g,r,ae,1864
1414_18,g,r,ae,m,1152
1414_19,r,ae,m,z,1312
1414_20,ae,m,z,epi,548
1414_21,m,z,epi,w,740
1414_22,z,epi,w,el,676
1414_23,epi,w,el,n,1754
1414_24,w,el,n,eh,1755
1414_25,el,n,eh,v,877
1414_26,n,eh,v,axr,1198
1414_27,eh,v,axr,kcl,1150
1414_28,v,axr,kcl,k,953
1414_29,axr,kcl,k,ax,501
1414_30,kcl,k,ax,m,839
1414_31,k,ax,m,pcl,857
1414_32,ax,m,pcl,p,1310
1414_33,m,pcl,p,ay,3033
1414_34,pcl,p,ay,l,1517
1415_0,sil,sil,sil,k,1140
1415_1,sil,sil,k,r,676
1415_2,sil,k,r,eh,1354
1415_3,k,r,eh,kcl,1550
1415_4,r,eh,kcl,t,557
1415_5,eh,kcl,t,q,1391
1415_6,kcl,t,q,eh,1382
